71,49,,
71,54,,
67,48,,
69,46,,
68,51,,
69,51,,
68,50,,
61,52,,
68,45,,
67,45,,
56,42,,
65,47,,
69,45,,
71,44,,
75,55,,
76,57,,
76,53,,
76,57,,
69,54,,
67,53,,
69,52,,
72,54,,
70,56,,
70,53,,
78,56,,
76,58,,
52,46,,
66,43,,
74,56,,
72,52,,
78,56,,
66,56,,
57,45,,
60,41,,
61,43,,
60,48,,
62,44,,
69,49,,
79,51,,
76,52,,
72,57,,
68,52,,
78,60,,
77,63,,
78,59,,
83,60,,
73,63,,
74,54,,
71,51,,
77,55,,
85,61,,
84,64,,
85,65,,
84,64,,
76,58,,
71,55,,
73,55,,
83,57,,
79,62,,
77,57,,
83,57,,
88,57,,
85,64,,
70,58,,
72,50,,
88,56,,
86,61,,
90,70,,
86,65,,
63,55,,
70,50,,
78,58,,
86,60,,
90,62,,
79,61,,
81,59,,
85,62,,
81,63,,
73,57,,
67,48,,
74,48,,
81,48,,
86,62,,
85,63,,
74,61,,
79,57,,
85,65,,
84,66,,
90,70,,
89,71,,
80,66,,
86,71,,
80,64,,
78,64,,
71,58,,
64,58,,
77,63,,
81,64,,
82,61,,
78,62,,
77,59,,
76,59,,
79,59,,
85,63,,
86,68,,
79,65,,
73,57,,
80,58,,
76,54,,
72,51,,
72,56,,
77,56,,
75,54,,
78,56,,
77,59,,
83,61,,
87,67,,
77,65,,
81,57,,
82,63,,
74,59,,
84,56,,
86,59,,
83,61,,
85,67,,
83,65,,
84,63,,
80,68,,
84,65,,
85,65,,
83,65,,
62,54,,
68,52,,
76,54,,
79,57,,
80,61,,
74,55,,
74,53,,
48,42,,
66,42,,
72,58,,
69,51,,
75,50,,
76,55,,
79,58,,
78,60,,
70,62,,
74,58,,
75,57,,
78,60,,
78,60,,
75,59,,
77,62,,
75,58,,
75,58,,
70,53,,
75,51,,
67,50,,
74,51,,
75,51,,
50,44,,
55,39,,
58,45,,
71,43,,
74,38,,
77,58,,
67,54,,
57,43,,
35,31,,
